Ref. SR Number,SR Number,Email Subject,AI Categorization,Is the AI Categorization  Correct?,"If NO, what should be the Correct Category?",AI Sub-categorization,Is the AI Sub-categorization Correct?,"If NO, what should be the Correct Sub-category?",AI Technician Group,Is the Group Routing Correct?,"If NO, what should be the Correct Technician Group?",Is the Initial Notes Accurate?,Initial Notes,Is the Priority Level correct?,"If NO, what should be the Correct Priority Level?",Pass/Fail,
SR-834658,SR-836704,Solara NT Account Inquiry,IT,No,User Account,Account Management,No,NT Login Creation,IT Team,No,NOC Systems,No,The request is for the creation of 2 NT accounts for Solara employees transitioning to onsite working setup. The accounts are needed for audit requirements and specific configurations. The IT Team should review the request and proceed with creating the necessary accounts with the specified settings,No,P3 - Planned,Fail,
,SR-836921,Solara NT Account Inquiry,Development,No,User Account,OSP,No,NT Login Creation,Dev Team,No,NOC Systems,No,"The request is regarding the creation of 2 NT accounts for Solara employees transitioning to onsite working setup.
The accounts are needed for audit requirements and specific configurations.
The priority for this request is set to P3 - Planned, and it has been assigned to the Dev Team for further action.",No,P3 - Planned,Fail,
SR-834680,SR-836705,PICA 20TH (TS): Returned Asset of Sir Peter Fernandez,Asset Management,No,Off Boarding,Returned Asset,No,Item Retrieval,Asset Team,No,"Asset Management
On-site Support",Yes,The IT asset from Sir Peter Fernandez has been returned and needs to be processed by the Asset Team. Please verify the details provided and update the asset records accordingly.,No,P3 - Planned,Fail,
,SR-836922,PICA 20TH (TS): Returned Asset of Sir Peter Fernandez,Asset Management,No,Off Boarding,N/A,No,Item Retrieval,Asset Team,No,Asset Management,Yes,"The IT asset from Sir Peter Fernandez has been returned and needs to be properly documented by the Asset team.
Please ensure that the Dell Latitude 3310 and JABRA EVOLVE 20 MS HEADSET are accounted for in the asset inventory.",No,P3 - Planned,Fail,
SR-834702,SR-836706,Cyber Sigma (TS): Request for Goo Gone and Wipe Out Cleaners,IT Procurement,No,TPMO,Cleaning Supplies,No,General IT Services,IT Procurement Team,No,Technical Project Management,No,"The IT Procurement team has been requested to provide one (1) Goo Gone and one (1) Wipe Out cleaners for cleaning IT assets at Cyber Sigma. This falls under the Cleaning Supplies sub-category of IT Procurement. The priority for this request is Planned (P3), indicating that it can be scheduled and addressed in due time.",No,P4 - Project,Fail,
,SR-836925,Cyber Sigma (TS): Request for Goo Gone and Wipe Out Cleaners,N/A,No,TPMO,N/A,No,General IT Services,IT Procurement Team,No,Technical Project Management,No,"The request is for Goo Gone and Wipe Out cleaners for Cyber Sigma.
The IT Procurement team should handle this request and provide the requested cleaning supplies for the IT assets at the specified location.
",No,P4 - Project,Fail,
SR-834726,SR-836707,KMC IT x EXL (IT related discussion),Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The ticket falls under the Development category, specifically related to OSP. The priority level is set to P3 - Planned, indicating that this discussion is part of planned IT activities. The ticket has been assigned to the Dev Team for further handling.",Yes,-,Fail,
,SR-836926,KMC IT x EXL (IT related discussion),Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The issue reported seems to be related to the Outage Notification feature in the OSP system.
The priority for this request is set to Planned (P3) as it requires attention but is not critical.
The Dev Team is assigned to address this issue.
",Yes,-,Fail,
SR-834744,SR-836708,CEBU Lexmark 2F(EY GDS)Printer Procurement,Development,No,TPMO,OSP,No,Hardware Purchase,Dev Team,No,Technical Project Management,No,The issue reported by the NOC engineers regarding the outage notification not being generated properly needs to be addressed promptly. The Dev Team should investigate the root cause of this issue and implement a fix to ensure smooth operation.,No,P3 - Planned,Fail,
,SR-836927,CEBU Lexmark 2F(EY GDS)Printer Procurement,Procurement,No,TPMO,N/A,No,Hardware Purchase,Cebu Office,No,Technical Project Management,No,"The request is for procuring a printer for EY.
The priority is set to Planned (P3) as it is a planned procurement request.
The responsible group for handling this ticket is the Cebu Office.",Yes,-,,
SR-834746,SR-836709,Additional Bio Reader - EY,Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The issue reported by the NOC engineers regarding the outage notification not being generated properly needs to be addressed.
The Dev Team should investigate the root cause and implement a fix to ensure that all clients receive the necessary notifications.
",No,P3 - Planned,Fail,
,SR-836928,Additional Bio Reader - EY,Development,No,TPMO,OSP,No,General IT Services,Dev Team,No,Technical Project Management,No,"The request from EY for additional bio readers falls under the Development category, specifically related to OSP.
It has been prioritized as P3 - Planned, and the Dev Team has been assigned to handle this request.
Please coordinate with the suppliers to gather the necessary information and provide a response to EY by Tuesday.",Yes,-,Fail,
SR-834750,SR-836710,Zenni: Request for Badge Cards and Bio Enrollment,Access Request,No,On Boarding,Badge Cards and Bio Enrollment,No,New Joinee,KMC Service Desk,No,Service Desk,Yes,"The request is for the preparation of badge card access and bio enrollment for a Zenni team member. The badge card access needs to be prepared for Kevin Jung, the Technical Program Manager of Zenni Optical, who will be visiting the site on March 11, 2024. Additionally, a ticket has been created for the enrollment of his biometric access for Frabelle 17th floor. The priority for this request is set to P3 - Planned, and the responsible group for handling this ticket is the KMC Service Desk.",Yes,-,Fail,
,,Zenni: Request for Badge Cards and Bio Enrollment,N/A,No,On Boarding,N/A,No,New Joinee,N/A,No,"Service Desk
",No,"The request is for the preparation of badge cards and bio enrollment for a Zenni team member.
The access needs to be ready for Kevin Jung, the Technical Program Manager of Zenni, who will be visiting on March 11, 2024.
The badge card access and biometric enrollment should be completed in a planned manner to ensure a smooth process for the visitor.
",No,P3 - Planned,Fail,
SR-834753,SR-836711,TS(Team Building): Request for Bus Quotation,Development,No,Procurement,OSP,No,Quotation Request,Dev Team,No,TS Procurement,No,"The request is for a bus quotation for a team building event on May 25-26, 2024. The priority is set to P3 - Planned, and the ticket has been assigned to the Dev Team for handling.",No,P4 - Project,Fail,
,SR-836930,TS(Team Building): Request for Bus Quotation,N/A,No,Procurement,N/A,No,Quotation Request,Team Building,No,TS Procurement,No,"The request for a bus quotation for a Team Building event on May 25-26, 2024, has been received.
The priority for this request is set to Planned (P3).
The Team Building group has been informed and will get in touch with you soon to provide the necessary assistance.
",No,P4 - Project,Fail,
SR-834759,SR-836712,Onboarding - Sheila Marie Dagooc Comabig- AGS HEALTH LLC,Onboarding,No,On Boarding,New Employee Setup,No,New Joinee,IT Service Desk Team,No,"Service Desk
",Yes,"The ticket is related to the onboarding process for a new employee, Sheila Marie Dagooc Comabig, at AGS HEALTH LLC.
The request includes setting up biometrics access, login credentials, desktop/laptop setup, and ensuring no IP phone or work from home access is needed.
The priority for this ticket is P3 - Planned, as it involves planned onboarding activities.
The IT Service Desk Team is responsible for handling this request.
",Yes,-,Fail,
,SR-836931,Onboarding - Sheila Marie Dagooc Comabig- AGS HEALTH LLC,N/A,No,On Boarding,N/A,No,New Joinee,N/A,No,Service Desk,No,N/A,No,P3 - Planned,Fail,
SR-834763,SR-836713,Onboarding - Harold Lee Chavez Magnaye- CORAL ACTIVE,IT Department,No,On Boarding,Onboarding,No,New Joinee,IT Department,No,"Service Desk
",No,"The request is related to onboarding Harold Lee Chavez Magnaye as a Senior Software Tester Manual at KMC / CORAL ACTIVE.
The start date is mentioned as 04-08-2024, and the request includes details such as contact information and work setup requirements.
The IT Department should proceed with the onboarding process and ensure all necessary equipment and access are provided to the new employee.",No,P3 - Planned,Fail,
,SR-836932,Onboarding - Harold Lee Chavez Magnaye- CORAL ACTIVE,N/A,No,On Boarding,N/A,No,New Joinee,IT Department,No,Service Desk,No,"The ticket is related to the onboarding process of Harold Lee Chavez Magnaye at CORAL ACTIVE.
The request includes details such as the employee's position, contact information, start date, and work setup requirements.
The priority assigned is P3 - Planned, as it involves planned onboarding activities.
The ticket has been correctly categorized under IT > Onboarding, and it has been assigned to the IT Department for further assistance.",Yes,-,Fail,
SR-834764,SR-836714,Deactivation Request: Offboarding,Human Resources,No,Off Boarding ,N/A,No,Employee Leaving,N/A,No,Service Desk,No,"This ticket is a request for deactivation of an offboarding employee.
The employee details are provided, and the effective date for deactivation is specified.
No further action is required in terms of category, sub-category, or group assignment.
",No,P3 - Planned,Fail,
,SR-836933,Deactivation Request: Offboarding,N/A,No,Off Boarding ,N/A,No,Employee Leaving,SME Admin Team,No,Service Desk,No,"The request is for the deactivation of an employee from SB Bookkeeping Solutions effective 29-Feb-24.
This falls under the SME Admin Team category and is classified as a Planned priority (P3).
The responsible group for handling this request should be the SME Admin Team.",Yes,-,,
SR-834766,SR-836715,"OFF-BOARDING TICKET - ILAGAN, RIGIL KENT MARTIN/DEEP SENTINEL CORPORATION: LATE NOTICE",N/A,No,Off Boarding ,N/A,No,Employee Leaving,HR Team,No,Service Desk,No,"The off-boarding request for ILAGAN, RIGIL KENT MARTIN from DEEP SENTINEL CORPORATION has been received.
The separation date is set for Feb 21, 2024, with deactivation scheduled for Mar 15, 2024.
The HR team will handle the process and send a confirmation email upon completion.",No,P3 - Planned,Fail,
,SR-836934,"OFF-BOARDING TICKET - ILAGAN, RIGIL KENT MARTIN/DEEP SENTINEL CORPORATION: LATE NOTICE",N/A,No,Off Boarding ,N/A,No,Employee Leaving,HR Team,No,Service Desk,No,"The off-boarding process for employee ILAGAN, RIGIL KENT MARTIN from DEEP SENTINEL CORPORATION is in progress.
The separation date is set for February 21, 2024, with deactivation scheduled for March 15, 2024.
The HR team is handling the request.",No,P3 - Planned,Fail,
SR-834774,SR-836716,Re: Podium - Branded (Badge Request and Replacement),Internal Message,No,Deployment / Movement,Badge Request and Replacement,No,Deployment Request,N/A,No,On-Site Support,No,"This ticket is an internal message regarding a badge request and replacement.
The request includes the need for 2 new badges and one replacement for lost access card.
The priority assigned is P2 - General.
No specific group assignment is provided in the ticket.",No,P3 - Planned,Fail,
,SR-836935,Re: Podium - Branded (Badge Request and Replacement),N/A,No,Deployment / Movement,N/A,No,Deployment Request,N/A,No,On-Site Support,No,"The request is for 2 new badges and one replacement for members at Podium - Branded.
The new badges are for Michelle Anne Reyes and Jienelle Fei Fernando, while the replacement is for Celso Bonbon due to a lost card.
The request is planned and can be scheduled accordingly.
",No,P3 - Planned,Fail,
SR-834791,SR-836717,ZETA(pythacadcam.sg): Request for Assistance,Development,No,Hardware,OSP,No,TV/Projector/Sound System,Dev Team,No,On-Site Support,No,"The request is related to setting up equipment for an event at the 9th floor training room.
The team needs assistance with the projector and HDMI connector.
The event is scheduled from 9:00 am to 2:00 pm.
The priority for this request is P3 - Planned, and it should be assigned to the Dev Team for further assistance.
",Yes,-,Fail,
,SR-836936,ZETA(pythacadcam.sg): Request for Assistance,Network,No,Hardware,N/A,No,TV/Projector/Sound System,On-site Support,Yes,On-Site Support,No,"The ticket has been categorized under Network > Wi-Fi Performance.
The priority level is set to P2 - General, indicating a general urgency.
The ticket has been assigned to the On-site Support team for resolution.
The user is experiencing slow Wi-Fi connectivity, which may be due to various factors such as network congestion, signal interference, or hardware issues.
The On-site Support team should investigate the issue by checking the network infrastructure, signal strength, and potential sources of interference to improve the Wi-Fi performance.",No,P3 - Planned,,
SR-834804,SR-836718,Re: [Client Inquiry] Gaming Room Set-up (To entertain companions of FGD participants),Client Inquiry,No,Hardware,Gaming Room Set-up,No,TV/Projector/Sound System,Utility Team,No,On-Site Support,No,"The client, Hazel Venida, has requested the set-up of a gaming area for companions of FGD participants.
She specifically mentioned the need for an Xbox and games to be available.
She also requested a key point of contact from the Utility team for coordination.
The priority for this request is classified as P3 - Planned, and the responsible group for handling this ticket is the Utility Team.
",Yes,-,Fail,
,SR-836937,Re: [Client Inquiry] Gaming Room Set-up (To entertain companions of FGD participants),,No,Hardware,,No,TV/Projector/Sound System,Dev Team,No,On-Site Support,No,"The client, Hazel Venida from UNA Market, has requested the set-up of a gaming area to entertain companions of FGD participants.
The request includes preparing an Xbox and games in advance.
The client also seeks a contact person from the Utility team for coordination.
The priority for this request is classified as P3 - Planned, and the ticket is assigned to the Dev Team for action.
",Yes,-,,
SR-834852,SR-836719,RT1 6F (IFIVE) Re:[## 177188 ##] PC Doesn't Open,Development,No,Hardware,OSP,No,Desktop/Laptop Problem,Dev Team,No,"On-Site Support
",No,"The ticket is related to a PC that doesn't open at station V-130.
The request has been acknowledged, and the Dev Team has been assigned to address this planned issue.
The ticket falls under the Development category with a sub-category of OSP.
The priority level is set to P3 - Planned.",No,P2 - General,Fail,
,SR-836938,RT1 6F (IFIVE) Re:[## 177188 ##] PC Doesn't Open,Network,No,Hardware,N/A,No,Desktop/Laptop Problem,On-site Support,Yes,On-Site Support,No,"The user is reporting slow Wi-Fi connectivity in the office, affecting their ability to load web pages and download files.
This issue needs to be addressed promptly to ensure smooth operations.
The ticket has been correctly categorized as a Network - Wi-Fi Performance problem, and it should be assigned to the On-site Support team for resolution.
",No,P2 - General,,
SR-834925,SR-836720,ZETA(IFIVE):Re:[## 177190 ##] PC Monitor Resolution,Development,No,Hardware,OSP,No,Desktop/Laptop Problem,Dev Team,No,"On-Site Support
",No,"The ticket is related to adjusting the resolution on a second monitor.
The request has been acknowledged, and the iFive IT team has been notified.
The issue falls under the Development category, specifically OSP.
The priority assigned is P3 - Planned, and the ticket has been assigned to the Dev Team for resolution.
",No,P2 - General,Fail,
,SR-836939,ZETA(IFIVE):Re:[## 177190 ##] PC Monitor Resolution,Development,No,Hardware,OSP,No,Desktop/Laptop Problem,Dev Team,No,On-Site Support,No,"The ticket is related to adjusting the resolution on the second monitor.
The request has been acknowledged and requires assistance from the Dev Team for planned resolution.
The issue is categorized under Development > OSP with a priority level of P3 - Planned.
",No,P2 - General,,
SR-834987,SR-836721,FourNEO 12F (WTW): Monitor Rental,Hardware,No,Asset Management,Monitor,No,Item Request,ITS Team,No,Asset Management,No,"The request is for a monitor rental for the WTW: FourNEO 12F (WTW) on March 4, 2024.
The priority for this request is Planned (P3) as it is scheduled for deployment.
The ITS team is assigned to handle this request.",Yes,-,Fail,
,SR-836940,FourNEO 12F (WTW): Monitor Rental,N/A,No,Asset Management,N/A,No,Item Request,Service Delivery,No,Asset Management,No,"The request is for a monitor rental at FourNEO 12F (WTW) on March 4, 2024.
The priority for this request is P3 - Planned.
The Service Delivery Team is responsible for handling this request.",Yes,-,,
SR-834991,SR-836722,Change Timezone Remotely,Service Desk Team,No,Software,Timezone Change,No,Configuration Assistance,N/A,No,"On-Site Support
Voice and Email",No,"The agent is experiencing issues with the timezone on their computer, which is affecting their work tools.
It is crucial to resolve this promptly to ensure they can work efficiently.
Please verify the timezone settings and make the necessary adjustments remotely to correct the issue.",No,P3 - Planned,Fail,
,SR-836941,Change Timezone Remotely,N/A,No,Software,N/A,No,Configuration Assistance,N/A,No,"On-Site Support
Voice and Email",No,"The agent is facing an issue with the computer clock timezone being incorrect despite attempts to change it.
This is impacting their work as their tools require the computer's clock to be set to EST.
It is recommended to prioritize this request to ensure the agent can go online promptly.
Check the computer settings and ensure the timezone is correctly set to EST.
",No,P3 - Planned,,
SR-835009,SR-836723,"ZETA(IFIVE):Re:[## 177179 ##] Secondary Monitor Deployment: 2 Team Lead Stations | March 4, 2024",IT Deployment,No,Deployment / Movement,Monitor Deployment,No,Deployment Request,iFive IT Team,No,On-Site Support,No,"The request is for the deployment of 2 secondary monitors for team lead stations on March 4, 2024.
The monitors are to be set up in specific offices by a certain time.
The request includes details on the office assignments and port numbers.
The monitors are to be deployed once transferred from another location.
The priority for this request is classified as P3 - Planned, as it involves a scheduled deployment.
The iFive IT team is responsible for handling this request.",Yes,-,Fail,
,SR-836942,"ZETA(IFIVE):Re:[## 177179 ##] Secondary Monitor Deployment: 2 Team Lead Stations | March 4, 2025",N/A,No,Deployment / Movement,N/A,No,Deployment Request,KMC Zeta Team,No,On-Site Support,No,"The request is for the deployment of 2 KMC monitors at Zeta Tower.
The monitors are already requested to be transferred from RBC to Zeta.
The KMC Zeta Team is responsible for deploying the monitors once they arrive at Zeta.
The deployment is planned and not critical.",No,P3 - Planned,,
SR-835029,SR-836724,ZETA(IFIVE):Re:[## 177242 ##] install cebod in V-372 port,Development,No,Software ,OSP,No,Software Installation/ Uninstallation (Application Installation/Uninstallation),Zeta iFive Team,No,"On-Site Support
Service Desk",No,"The request is related to installing Cebod on port V-372.
It falls under the Development category, specifically OSP.
The priority assigned is P3 - Planned, indicating that it requires attention but is not critical.
The ticket has been successfully sent to the Zeta iFive Team for further action.
",Yes,-,Fail,
,SR-836943,ZETA(IFIVE):Re:[## 177242 ##] install cebod in V-372 port,N/A,No,Software ,OSP,No,Software Installation/ Uninstallation (Application Installation/Uninstallation),Zeta iFive Team,No,"On-Site Support
Service Desk",No,"The ticket is a request for the installation of Cebod in V-372 port by the Zeta IFive Team.
The priority level assigned is P4 - Project, indicating that this is a project-related task.
The group assignment is the Zeta IFive Team, responsible for handling the installation request.
",No,P3 - Planned,,
SR-835036,SR-836725,Armstrong (TS): Joan 6 Battery Low - room Armstrong 12th Meeting Room 2 5pax,Facilities,No,Hardware,Charging Request,No,Joan Device,Joan Team,No,On-Site Support,No,"The Joan device in Armstrong 12th Meeting Room 2 with 5 seating capacity is running low on battery at 16%.
It is recommended to charge the device to ensure seamless scheduling.
The Joan Team has been notified for assistance.",No,P2 - General,Fail,
,SR-836944,Armstrong (TS): Joan 6 Battery Low - room Armstrong 12th Meeting Room 2 5pax,N/A,No,Hardware,N/A,No,Joan Device,N/A,No,On-Site Support,No,"The on-site technician has been coordinated to charge Joan 6 at Armstrong 12th Meeting Room 2 to ensure continuous operation.
It is recommended to monitor the battery levels regularly to avoid disruptions in scheduling.
",No,P2 - General,,
SR-835029,SR-836741,ZETA(IFIVE):Re:[## 177242 ##] install cebod in V-372 port,Network,No,Software ,Wi-Fi Performance,No,Software Installation/ Uninstallation (Application Installation/Uninstallation),On-site Support,Yes,On-site Support,No,"The user is facing slow Wi-Fi connectivity issues in the office, affecting their ability to load web pages and download files.
The On-site Support team should investigate the Wi-Fi performance and address any potential network issues causing the slowdown.",No,P3 - Planned,Fail,
,SR-836945,ZETA(IFIVE):Re:[## 177242 ##] install cebod in V-372 port,Development,No,Software ,OSP,No,Software Installation/ Uninstallation (Application Installation/Uninstallation),Dev Team,No,On-site Support,No,"The ticket is a request to install Cebod in V-372 port.
The priority is classified as P3 - Planned, and the ticket is assigned to the Dev Team for assistance.
The requester is Xyrus Ezekiel Cuenca from iFive Global.
The installation should be planned and scheduled accordingly.
",Yes,-,,
SR-835059,SR-836742,Re:[## 177265 ##] ReleasePoint Employee Separation Notification | Mac Gemver Sambeli,Access Management,No,Off Boarding ,Deactivation,No,Employee Leaving ,IT Team,No,"Service Desk
",No,"The user, Mac Gemver Sambeli, is requesting the deactivation of accesses due to separation from the company.
The accesses to be deactivated include Badge Card Access, Biometrics, and NT Login.
The separation reason provided is resignation and studies.
The priority for this ticket is P3 - Planned, as it involves planned access deactivation.
The IT Team is responsible for handling this request.",Yes,,Fail,
,SR-836946,Re:[## 177265 ##] ReleasePoint Employee Separation Notification | Mac Gemver Sambeli,N/A,No,Off Boarding ,N/A,No,Employee Leaving ,N/A,No,"Service Desk
",No,"The ticket is related to the critical task of deactivating all accesses for an employee separation.
It includes revoking badge card access, biometrics, and NT login for Mac Gemver Sambeli.
The urgency of this request is high as it involves security measures for a departing employee.
Immediate action is required to ensure data and physical access security.
",No,P3 - Planned,,
SR-835101,SR-836743,Re: Cotiviti - Cyber Gamma Fitout & IT Coordination Call Requested,Development,No,Network,OSP,No,General Network Activity,Dev Team,No,"Network Design Team
NOC",No,"The request is related to an outage notification issue in the OSP system.
The NOC engineers are facing difficulties with the bcc function not working correctly.
The Dev Team should investigate and resolve this issue promptly to ensure smooth operations.
",No,P3 - Planned,Fail,
,SR-836947,Re: Cotiviti - Cyber Gamma Fitout & IT Coordination Call Requested,Development,No,Network,OSP,No,General Network Activity,Dev Team,No,"Network Design Team
NOC",No,"The request is related to an issue in the OSP system where outage notifications are not being generated properly for all clients.
The Dev Team should investigate this issue and work on a solution to ensure proper notification generation for all clients.
",No,P3 - Planned,Fail,
SR-835102,SR-836744,PROC : GAMMA(COTIVITI) : RFQ FOR PROJECTOR AND SCREEN WITH INSTALLATION,Vendor Management,No,Procurement,RFQ for Projector and Screen,No,Quotation Request,Vendor Management Team,No,TS Procurement,No,"The request is for an RFQ for a projector and screen installation based on client requirements.
The priority is classified as Planned (P3) as it is not an urgent request.
The Vendor Management Team is assigned to handle this request.",No,P4 - Project,Fail,
,SR-836948,PROC : GAMMA(COTIVITI) : RFQ FOR PROJECTOR AND SCREEN WITH INSTALLATION,Procurement,Yes,Procurement,N/A,No,Quotation Request,Procurement,No,TS Procurement,No,"The request is for the procurement of a projector and screen with installation.
The client's specific requirements for the projector and screen have been outlined.
The RFQ process needs to be initiated to fulfill this request.
The Procurement Team should handle this request and proceed with obtaining quotations for the required items.
",No,P4 - Project,,
SR-835120,SR-836745,Lag laptop,Development,No,Hardware,OSP,No,Desktop/Laptop Problem,Dev Team,No,On-Site Support,No,"The request is related to a software defect in the OSP system.
The priority is set to P3 - Planned, and the ticket has been assigned to the Dev Team for resolution.
Please investigate the issue and ensure that the outage notifications are generated correctly for all clients.",No,P2 - General,Fail,
,SR-836949,Lag laptop,N/A,No,Hardware,N/A,No,Desktop/Laptop Problem,N/A,No,On-Site Support,No,"The laptop is experiencing lagging issues, which can impact productivity.
It's important to investigate the root cause of the lag and address it promptly to ensure smooth operation.
Possible solutions may include checking for background processes consuming resources, updating drivers, or performing maintenance tasks.",No,P2 - General,,
SR-835260,SR-836746,Access Request - Joan Admin Portal,Access Request,No,Services Management,Joan Admin Portal,No,Access Permission,Systems Team,No,NOC Systems,No,"The requester, Leanna Pedragosa, is seeking access to the Joan admin config portal to better understand the system features for a potential in-house project.
The request is planned and falls under the category of Access Request - Joan Admin Portal.
The Systems Team is assigned to address this request.",No,P3 - Planned,Fail,
